[Mon Jun 15 14:24:11.945171 2015] [:error] [pid 23032] [client 218.107.17.207:56256] PHP Fatal error:  Call to a member function getName() on a non-object in /root/blog/web/phpMyAdmin/libraries/common.inc.php on line 717
[Mon Jun 15 14:28:06.482598 2015] [:error] [pid 23078] [client 218.107.17.207:56259] PHP Fatal error:  Call to a member function getName() on a non-object in /root/blog/web/phpMyAdmin/libraries/common.inc.php on line 717
[Mon Jun 15 14:28:07.558071 2015] [:error] [pid 23078] [client 218.107.17.207:56259] PHP Fatal error:  Call to a member function getName() on a non-object in /root/blog/web/phpMyAdmin/libraries/common.inc.php on line 717
[Mon Jun 15 14:28:08.500569 2015] [:error] [pid 23078] [client 218.107.17.207:56259] PHP Fatal error:  Call to a member function getName() on a non-object in /root/blog/web/phpMyAdmin/libraries/common.inc.php on line 717
[Wed Jun 17 11:25:02.358474 2015] [:error] [pid 25184] [client 121.42.0.14:3159] script '/root/blog/web/flow.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:25:06.425900 2015] [:error] [pid 25184] [client 121.42.0.14:3159] script '/root/blog/web/akcms_keyword.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:25:20.549212 2015] [cgi:error] [pid 25639] [client 121.42.0.14:4385] script not found or unable to stat: /var/www/cgi-bin/authlogin.cgi, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:25:22.598546 2015] [cgi:error] [pid 25639] [client 121.42.0.14:4385] script not found or unable to stat: /var/www/cgi-bin/it.cgi, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:25:24.510915 2015] [cgi:error] [pid 25639] [client 121.42.0.14:4385] script not found or unable to stat: /var/www/cgi-bin/test-cgi, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:25:36.471891 2015] [:error] [pid 25558] [client 121.42.0.14:7310] script '/root/blog/web/api.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:25:38.405874 2015] [:error] [pid 25558] [client 121.42.0.14:7310] script '/root/blog/web/api.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:25:44.009368 2015] [:error] [pid 25558] [client 121.42.0.14:7310] script '/root/blog/web/_php_my_admin/feed-proxy.php' not found or unable to stat, referer: http://www.liguoxian.com:80/_php_my_admin/phpmyadmin.css.php
[Wed Jun 17 11:26:41.715550 2015] [:error] [pid 24837] [client 121.42.0.14:16091] script '/root/blog/web/bigdump.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:26:55.730531 2015] [:error] [pid 25627] [client 121.42.0.14:18126] script '/root/blog/web/api.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:27:01.684354 2015] [:error] [pid 25627] [client 121.42.0.14:18126] script '/root/blog/web/api.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:27:03.719214 2015] [:error] [pid 25627] [client 121.42.0.14:18126] script '/root/blog/web/flash_upload.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:27:23.694904 2015] [:error] [pid 25748] [client 121.42.0.14:20817] script '/root/blog/web/batch.common.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:27:29.675845 2015] [:error] [pid 25748] [client 121.42.0.14:20817] script '/root/blog/web/api.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:29:22.376519 2015] [:error] [pid 25031] [client 121.42.0.14:37006] script '/root/blog/web/_php_my_admin/js/feed-proxy.php' not found or unable to stat, referer: http://www.liguoxian.com:80/_php_my_admin/js/get_image.js.php
[Wed Jun 17 11:29:25.474747 2015] [:error] [pid 24779] [client 121.42.0.14:37509] script '/root/blog/web/phpinfo.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:29:27.526845 2015] [:error] [pid 24779] [client 121.42.0.14:37509] script '/root/blog/web/php.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
